日付,始値,高値,安値,終値
2017-12-08,22627.95,22819.71,22625.41,22811.08
2017-12-07,22317.15,22515.24,22317.15,22498.03
2017-12-06,22525.38,22528.21,22119.21,22177.04
2017-12-05,22595.33,22682.71,22522.28,22622.38
2017-12-04,22843.53,22864.33,22693.99,22707.16
2017-12-01,22916.93,22994.31,22675.07,22819.03
2017-11-30,22601.83,22748.32,22502.68,22724.96
2017-11-29,22613.96,22643.93,22537.12,22597.20
2017-11-28,22474.74,22580.99,22363.94,22486.24
2017-11-27,22657.08,22659.33,22423.40,22495.99
2017-11-24,22390.14,22567.20,22381.01,22550.85
2017-11-22,22601.55,22677.34,22513.44,22523.15
2017-11-21,22456.79,22563.25,22416.48,22416.48
2017-11-20,22279.98,22410.24,22215.07,22261.76
2017-11-17,22603.30,22757.40,22319.12,22396.80
2017-11-16,21975.23,22392.13,21972.34,22351.12
2017-11-15,22250.98,22305.24,22004.79,22028.32
2017-11-14,22342.93,22532.30,22323.24,22380.01
2017-11-13,22607.56,22607.92,22380.99,22380.99
2017-11-10,22580.70,22724.39,22511.93,22681.42
2017-11-09,22989.44,23382.15,22522.83,22868.71
2017-11-08,22849.91,22922.80,22759.07,22913.82
2017-11-07,22518.75,22953.18,22512.91,22937.60
2017-11-06,22612.96,22644.68,22435.34,22548.35
2017-11-02,22512.18,22540.25,22400.01,22539.12
2017-11-01,22144.92,22455.92,22130.03,22420.08
2017-10-31,21897.29,22020.38,21840.07,22011.61
2017-10-30,22047.95,22086.88,21921.24,22011.67
2017-10-27,21903.27,22016.50,21815.72,22008.45
2017-10-26,21698.95,21793.62,21688.56,21739.78
2017-10-25,21900.13,21921.36,21648.35,21707.62
2017-10-24,21670.00,21805.17,21646.52,21805.17
2017-10-23,21709.30,21723.60,21614.51,21696.65
2017-10-20,21390.95,21489.26,21363.10,21457.64
2017-10-19,21450.04,21503.85,21381.52,21448.52
2017-10-18,21374.66,21402.76,21317.67,21363.05
2017-10-17,21352.17,21393.96,21230.67,21336.12
2017-10-16,21221.27,21347.07,21187.93,21255.56
2017-10-13,20959.66,21211.29,20933.00,21155.18
2017-10-12,20958.18,20994.40,20917.04,20954.72
2017-10-11,20803.71,20898.41,20788.12,20881.27
2017-10-10,20680.54,20823.66,20663.08,20823.51
2017-10-06,20716.85,20721.15,20659.15,20690.71
2017-10-05,20650.71,20667.47,20602.26,20628.56
2017-10-04,20660.81,20689.08,20592.18,20626.66
2017-10-03,20475.25,20628.38,20438.17,20614.07
2017-10-02,20400.51,20411.33,20363.28,20400.78
2017-09-29,20315.34,20370.33,20285.06,20356.28
2017-09-28,20398.63,20399.87,20299.68,20363.11
2017-09-27,20269.82,20278.09,20213.66,20267.05
2017-09-26,20349.26,20385.50,20303.98,20330.19
2017-09-25,20439.43,20454.29,20367.03,20397.58
2017-09-22,20413.61,20417.07,20249.24,20296.45
2017-09-21,20456.50,20481.27,20332.69,20347.48
2017-09-20,20301.33,20339.37,20272.82,20310.46
2017-09-19,20128.18,20320.78,20122.00,20299.38
2017-09-15,19793.80,19933.40,19787.65,19909.50
2017-09-14,19860.37,19918.39,19793.85,19807.44
2017-09-13,19873.69,19888.84,19845.02,19865.82
2017-09-12,19736.14,19792.06,19718.80,19776.62
2017-09-11,19441.39,19567.03,19437.14,19545.77
2017-09-08,19297.96,19357.49,19239.52,19274.82
2017-09-07,19433.44,19482.72,19365.75,19396.52
2017-09-06,19286.06,19371.38,19254.67,19357.97
2017-09-05,19533.38,19542.78,19354.59,19385.81
2017-09-04,19615.96,19628.40,19479.40,19508.25
2017-09-01,19733.57,19735.96,19620.07,19691.47
